,equity
2023-02-13,32243.060454958253
2023-02-14,32379.408266159702
2023-02-15,32421.958607379696
2023-02-16,31812.139212016646
2023-02-17,31479.347501157736
2023-02-21,30828.07035696921
2023-02-22,30780.506777348546
2023-02-23,31135.85845658107
2023-02-24,30602.93428498812
2023-02-27,30738.11346510249
2023-02-28,30747.231593202174
2023-03-01,30653.116086996
2023-03-02,30838.300971624492
2023-03-03,31329.61336278652
2023-03-06,31169.4511007618
2023-03-07,30774.692175575998
2023-03-08,30849.589115595292
2023-03-09,30560.617100001688
2023-03-10,30349.439174174673
2023-03-13,30768.17761703409
2023-03-14,30573.197637231962
2023-03-15,30859.858348143847
2023-03-16,30746.849630694156
2023-03-17,31217.823660197893
2023-03-20,31083.9478893135
2023-03-21,31060.684797159123
2023-03-22,31098.16425115592
2023-03-23,31473.22890033899
2023-03-24,31545.883742292077
2023-03-27,31182.84679537612
2023-03-28,31059.345865294705
2023-03-29,31616.587322846393
2023-03-30,31940.679490420185
2023-03-31,32374.940075003662
2023-04-03,32395.199350744944
2023-04-04,32284.83403378993
2023-04-05,31973.720428913617
2023-04-06,32144.301900692317
2023-04-10,31973.451407903427
2023-04-11,31969.549420192256
2023-04-12,32004.62725497127
2023-04-13,32024.097138905618
2023-04-14,31950.062846832287
2023-04-17,32012.74545263193
2023-04-18,32099.351529020056
2023-04-19,32138.712640136207
2023-04-20,31948.66229175773
2023-04-21,31810.213226872296
2023-04-24,31656.40468806859
2023-04-25,31162.408934879844
2023-04-26,31974.1905521672
2023-04-27,32751.079971854648
2023-04-28,33013.763991974585
2023-05-01,32952.41297124462
2023-05-02,32804.87213073092
2023-05-03,32633.73360044155
2023-05-04,32527.43184030363
2023-05-05,33389.60540744658
2023-05-08,33308.08478839387
2023-05-09,33225.02870859492
2023-05-10,33495.15942069831
2023-05-11,33351.16698174268
2023-05-12,33237.398558961424
2023-05-15,33420.344190061056
2023-05-16,33580.18258755498
2023-05-17,34040.79118203824
2023-05-18,34828.728415914964
2023-05-19,34690.28498234771
2023-05-22,34695.5246206183
2023-05-23,34182.57600041954
2023-05-24,34099.14515405527
2023-05-25,37046.45632755751
2023-05-26,37722.65508683714
2023-05-30,37831.31292785471
2023-05-31,37640.64152612895
2023-06-01,38086.31464038371
2023-06-02,38292.42980611129
2023-06-05,38158.81682512778
2023-06-06,38053.586052219274
2023-06-07,37439.18408585755
2023-06-08,37805.81680706144
2023-06-09,37932.99967984872
2023-06-12,38529.092377213
2023-06-13,38765.98160557705
2023-06-14,39074.16652790758
2023-06-15,39746.876120336616
2023-06-16,39370.48169780715
2023-06-20,39127.53973795678
2023-06-21,38637.97868870846
2023-06-22,39078.76017643266
2023-06-23,38676.85293000403
2023-06-26,38191.24877321415
2023-06-27,38763.30479616525
2023-06-28,38908.37280326509
2023-06-29,38868.586785962056
2023-06-30,39510.28675891198
2023-07-03,39352.580747089625
2023-07-05,39287.559849279416
2023-07-06,39333.67657334925
2023-07-07,39089.333357633375
2023-07-10,38784.24104001758
2023-07-11,38830.98969350921
2023-07-12,39260.049558970386
2023-07-13,39709.64901907925
2023-07-14,39795.96811110243
2023-07-17,40054.46197905423
2023-07-18,40767.193697465445
2023-07-19,40585.28379282551
2023-07-20,39775.00655793315
2023-07-21,39626.96951055608
2023-07-24,39708.339831715224
2023-07-25,40127.589165235695
2023-07-26,39476.51973200436
2023-07-27,39160.952599422264
2023-07-28,39811.960809712284
2023-07-31,39860.577614477275
2023-08-01,39798.471341316064
2023-08-02,39058.09540226989
2023-08-03,38907.22737264591
2023-08-04,38141.02665180783
2023-08-07,38256.09805019031
2023-08-08,38000.082380440916
2023-08-09,37635.99190180684
2023-08-10,37606.249800350924
2023-08-11,37463.38218116296
2023-08-14,37745.97256398181
2023-08-15,37366.01057300446
2023-08-16,37001.5969071722
2023-08-17,36648.17658433129
2023-08-18,36712.293577483855
2023-08-21,37145.33035642961
2023-08-22,37084.79121074946
2023-08-23,37591.76586804588
2023-08-24,36932.16427662958
2023-08-25,37206.65576201438
2023-08-28,37508.46851874175
2023-08-29,38332.88155787369
2023-08-30,38516.83907949833
2023-08-31,38533.095794679735
2023-09-01,38424.85010154105
2023-09-05,38363.0713222751
2023-09-06,37873.635357643776
2023-09-07,37567.2179710031
2023-09-08,37434.306904825855
2023-09-11,37535.12331235125
2023-09-12,37226.49964521913
2023-09-13,37433.01411788182
2023-09-14,37639.49687052287
2023-09-15,36823.790232464475
2023-09-18,36840.70883695847
2023-09-19,36723.46828014392
2023-09-20,36326.65369784161
2023-09-21,35699.470255075474
2023-09-22,35769.96722708899
2023-09-25,35675.75581213762
2023-09-26,35439.9025792364
2023-09-27,35246.163432151145
2023-09-28,35225.585355273186
2023-09-29,35041.8505003088
2023-10-02,35493.66425234749
2023-10-03,34979.157565021866
2023-10-04,35228.798550767766
2023-10-05,35505.00687360761
2023-10-06,35916.30065537481
2023-10-09,35777.74167429898
2023-10-10,35974.146090205475
2023-10-11,36365.58874350225
2023-10-12,36397.1380423538
2023-10-13,35833.102102704244
2023-10-16,35775.15249457551
