date,champion_trend_following_v4,adaptive_ensemble,defensive_growth,factor_rotation,risk_parity,dynamic_champion_switcher_weights,etf_only_robust_portfolio,gtaa_dual_momentum_weights,blended_champion_weights_alpha_1.0,blended_champion_weights_alpha_0.9,blended_champion_weights_alpha_0.8,blended_champion_weights_alpha_0.7,blended_champion_weights_alpha_0.6,blended_champion_weights_alpha_0.5
2012-02-23,11473.85629805042,11707.877623339757,11152.518997609694,12339.858676599746,12070.26572981022,11638.191387717434,11940.42237836269,12691.334731339088,12312.482059691305,12785.010548326643,12841.671442604942,12756.662912530574,12647.52638460079,12456.560168848697
2012-02-24,11494.609684848332,11751.691525474756,11204.376723090063,12364.43703674341,12086.874410639304,11672.012609295913,11967.44366732997,12703.982603709412,12334.752314432995,12810.607477907557,12869.864755543047,12787.136098940291,12680.18426936366,12491.133429968588
2012-02-27,11476.103406235687,11762.661799504633,11222.334574099092,12392.369752257506,12090.13513461888,11676.44893573447,11982.458010913884,12696.171297384726,12314.893409328131,12793.374230362668,12855.851612855256,12776.445925680095,12672.789360613695,12487.006828235923
2012-02-28,11565.138636480555,11878.67602781805,11326.991945713888,12442.794710070779,12112.946215895603,11819.678633571673,12037.360808717085,12703.919804425146,12410.436237004707,12895.321766470533,12961.002669569238,12883.636445008317,12781.777357599949,12597.02509097233
2012-02-29,11507.046615541889,11853.254845464999,11321.282236154118,12391.643436236345,12066.100676516688,11808.328789677911,11980.3558706598,12606.153067446336,12348.098262130467,12834.2658672306,12903.372393828842,12830.064473910214,12732.313865972746,12551.908233632947
2012-03-01,11614.89794860432,11946.475367101077,11364.328070062298,12404.274612218502,12103.129930844581,11919.367564081667,12039.73720219395,12669.855030605255,12463.832464211297,12952.62122613952,13020.419105162315,12944.511327396956,12843.968624782025,12660.088011032416
2012-03-02,11574.350877539757,11920.180147742727,11356.514775257689,12339.007935829704,12085.173791545847,11878.88043954222,12024.586849908119,12592.68404840803,12420.321802051418,12909.074941859171,12978.324348504646,12904.331649829743,12805.75773317096,12624.057149368444
2012-03-05,11414.97518200188,11796.878827125061,11241.708207613681,12277.112050221229,12046.459633814175,11722.850873093195,11971.345366023248,12535.523581060748,12249.29731463524,12735.917325183025,12808.759248259608,12740.210133157603,12647.311191293358,12472.186640081945
2012-03-06,11267.066321851116,11675.695920753667,11178.340206679359,12102.401540137804,11947.864955474946,11576.077835038588,11846.956408357577,12351.477263283201,12090.577775208456,12574.312011205546,12649.668780522887,12585.391803644387,12497.017549185211,12327.322845067021
2012-03-07,11359.533428095872,11752.8586203999,11217.985370828312,12197.498785874592,11992.248851078806,11663.552473439759,11921.983021715265,12450.287525353771,12189.803315181758,12675.498087548545,12749.439816950255,12682.644704023816,12591.590497108537,12418.641676403504
