,equity
2018-04-13,16425.49652970719
2018-04-16,16476.69169753361
2018-04-17,16562.077696709526
2018-04-18,16560.666651573472
2018-04-19,16525.202121666975
2018-04-20,16433.27687854434
2018-04-23,16407.27399096065
2018-04-24,16332.987996943002
2018-04-25,16271.54773641407
2018-04-26,16349.706670755264
2018-04-27,16428.189749726374
2018-04-30,16315.302378909073
2018-05-01,16331.555349784612
2018-05-02,16271.677825353287
2018-05-03,16324.185769066644
2018-05-04,16382.185400997849
2018-05-07,16460.774840527378
2018-05-08,16472.33708103072
2018-05-09,16593.9542628973
2018-05-10,16755.794250329418
2018-05-11,16731.42162955578
2018-05-14,16725.05956501428
2018-05-15,16499.147302035595
2018-05-16,16547.6049937255
2018-05-17,16513.63616498939
2018-05-18,16485.732905255885
2018-05-21,16589.666078395578
2018-05-22,16534.330609874778
2018-05-23,16612.884634306884
2018-05-24,16611.118389380827
2018-05-25,16606.26079438288
2018-05-29,16562.406932259317
2018-05-30,16689.932780534516
2018-05-31,16615.052205962
2018-06-01,16780.22661980906
2018-06-04,16926.19423744328
2018-06-05,16984.241886657674
2018-06-06,17031.23073263763
2018-06-07,16939.596131850012
2018-06-08,16941.31007682129
2018-06-11,16897.14821104266
2018-06-12,16948.354133633784
2018-06-13,16898.624302304786
2018-06-14,16989.420469137393
2018-06-15,16873.39548452447
2018-06-18,16882.68064629061
2018-06-19,16754.477014350192
2018-06-20,16825.86041255974
2018-06-21,16696.52198118554
2018-06-22,16594.037582201425
2018-06-25,16350.77737277804
2018-06-26,16437.188049923738
2018-06-27,16272.147008013855
2018-06-28,16366.14435651343
2018-06-29,16365.711246620878
2018-07-02,16455.048647578966
2018-07-03,16328.657387957273
2018-07-05,16455.185228667306
2018-07-06,16626.79177570647
2018-07-09,16712.857507335262
2018-07-10,16761.07346912124
2018-07-11,16617.367079341973
2018-07-12,16791.889287957776
2018-07-13,16786.087030570277
2018-07-16,16733.850334341027
2018-07-17,16798.89414252938
2018-07-18,16756.929714933343
2018-07-19,16721.32711852371
2018-07-20,16775.873589881776
2018-07-23,16796.410731123957
2018-07-24,16810.373496418528
2018-07-25,17021.386478122913
2018-07-26,16995.95312455032
2018-07-27,16816.2042392154
2018-07-30,16591.606956437703
2018-07-31,16655.487442307473
2018-08-01,16845.283362230897
2018-08-02,17046.32623509667
2018-08-03,17108.244932482412
2018-08-06,17151.553322703105
2018-08-07,17174.221249291146
2018-08-08,17204.694451348478
2018-08-09,17229.77437948541
2018-08-10,17150.50407334457
2018-08-13,17107.53469900236
2018-08-14,17212.25807273916
2018-08-15,17076.54019521784
2018-08-16,17165.461571802472
2018-08-17,17254.664968712685
2018-08-20,17219.820314845845
2018-08-21,17210.81899136755
2018-08-22,17263.383530477342
2018-08-23,17265.81592863808
2018-08-24,17393.533682422953
2018-08-27,17521.867168867153
2018-08-28,17538.810938769017
2018-08-29,17723.156122049804
2018-08-30,17715.220372206895
2018-08-31,17801.3709338106
2018-09-04,17761.796146545905
2018-09-05,17572.492826951133
2018-09-06,17496.959924441835
2018-09-07,17422.924748580477
2018-09-10,17450.689595855754
2018-09-11,17577.936219673895
2018-09-12,17516.638900848422
2018-09-13,17686.42139834826
2018-09-14,17715.58487801131
2018-09-17,17544.294961126154
2018-09-18,17626.58178957223
2018-09-19,17580.80240511967
2018-09-20,17725.848001074573
2018-09-21,17696.82720900478
2018-09-24,17760.99831039518
2018-09-25,17813.225675287784
2018-09-26,17734.81077681623
2018-09-27,17816.90519011037
2018-09-28,18013.247021806605
2018-10-01,18178.726050165
2018-10-02,18174.034531537192
2018-10-03,18210.60899722224
2018-10-04,17951.702459831915
2018-10-05,17749.046019323017
2018-10-08,17625.1566574941
2018-10-09,17708.747857644703
2018-10-10,16984.639345842916
2018-10-11,16759.974521086275
2018-10-12,17188.91632236372
2018-10-15,17057.123619119415
2018-10-16,17281.637160062615
2018-10-17,17252.284182154002
2018-10-18,17085.499257655774
2018-10-19,17129.74683299995
2018-10-22,17167.019873685018
2018-10-23,17162.326712832702
2018-10-24,16830.763018554964
2018-10-25,17117.57506393265
2018-10-26,17003.363631788794
2018-10-29,16959.66053614975
2018-10-30,16949.316637265896
2018-10-31,16924.680081789043
2018-11-01,17014.69163721064
2018-11-02,16972.693486770753
2018-11-05,16976.421092853474
2018-11-06,16963.715903732264
2018-11-07,16999.61253071078
2018-11-08,16979.082202482776
2018-11-09,16930.616961882708
2018-11-12,16881.05354020033
2018-11-13,16884.331048478663
2018-11-14,16928.28416603702
2018-11-15,16957.673062973914
2018-11-16,17015.880913971865
2018-11-19,16996.538039668907
2018-11-20,16966.518643984255
2018-11-21,16977.714521518654
2018-11-23,16966.458248836076
2018-11-26,16983.82537371542
2018-11-27,16964.45771511127
2018-11-28,17026.78962762782
2018-11-29,17053.10397569089
2018-11-30,17068.664303643942
2018-12-03,17133.910854368336
2018-12-04,17147.027230849355
2018-12-06,17166.68872068261
2018-12-07,17190.563056825427
2018-12-10,17182.761156403212
2018-12-11,17160.37863538505
2018-12-12,17163.7059158041
2018-12-13,17162.119597580786
2018-12-14,17121.25215223098
2018-12-17,17139.027213290894
2018-12-18,17164.898899419397
2018-12-19,17131.96246015715
2018-12-20,17175.672823695
2018-12-21,17130.02305075176
2018-12-24,17157.242521471788
2018-12-26,17192.84862877891
2018-12-27,17266.856445993904
2018-12-28,17321.902595987776
2018-12-31,17369.37979773924
2019-01-02,17376.092721023837
2019-01-03,17437.089344918746
2019-01-04,17392.947856050803
2019-01-07,17404.775660447744
2019-01-08,17392.07659018885
2019-01-09,17437.29824275744
2019-01-10,17411.848641972552
2019-01-11,17440.31681876035
2019-01-14,17436.883590723293
2019-01-15,17446.375098890672
2019-01-16,17459.256119637626
2019-01-17,17454.97348071587
2019-01-18,17407.548131007174
2019-01-22,17430.387568895527
2019-01-23,17425.627753626242
2019-01-24,17435.644212076782
2019-01-25,17507.030742223684
2019-01-28,17516.003339907144
2019-01-29,17560.881633685658
2019-01-30,17637.890646070588
2019-01-31,17683.91578206244
2019-02-01,17641.459716243746
2019-02-04,17616.179143133737
2019-02-05,17644.059180225016
2019-02-06,17613.7110816384
2019-02-07,17638.115817459577
2019-02-08,17672.596720422265
2019-02-11,17636.98315242226
2019-02-12,17658.282549729785
2019-02-13,17623.857045746296
2019-02-14,17681.611645815236
2019-02-15,17724.327077733757
2019-02-19,17728.308129552202
2019-02-20,17743.209147384445
2019-02-21,17703.979751354822
2019-02-22,17846.910341268416
2019-02-25,17891.316278923372
2019-02-26,17930.560037118226
2019-02-27,17906.538027035134
2019-02-28,17875.517330535167
2019-03-01,17952.565729844355
2019-03-04,17863.60276260851
2019-03-05,17827.14524769164
2019-03-06,17664.739926412494
2019-03-07,17507.13590170898
2019-03-08,17502.205571738927
2019-03-11,17756.31240201168
2019-03-12,17843.16006820369
2019-03-13,17956.332040988684
2019-03-14,17954.329691984647
2019-03-15,18096.94010667342
2019-03-18,18166.498122297337
2019-03-19,18152.80333044487
2019-03-20,18046.429530742298
2019-03-21,18249.685716713182
2019-03-22,17860.313593338335
2019-03-25,17789.704319114448
2019-03-26,17819.2478282943
2019-03-27,17775.57833323522
2019-03-28,17805.17146191137
2019-03-29,17927.828050073942
2019-04-01,18058.055485358975
2019-04-02,18131.840284690257
2019-04-03,18216.150694275013
2019-04-04,18188.320396839958
2019-04-05,18265.738014012433
2019-04-08,18346.599596680204
2019-04-09,18288.239109937473
2019-04-10,18385.084584663848
2019-04-11,18332.163877094194
2019-04-12,18400.37442486878
2019-04-15,18409.201304407692
2019-04-16,18401.274066520156
2019-04-17,18501.102866635603
2019-04-18,18582.129002164562
2019-04-22,18616.147006732604
2019-04-23,18800.72076123388
2019-04-24,18790.789132440383
2019-04-25,18879.18686788701
2019-04-26,18896.35070398844
2019-04-29,18890.005049411495
2019-04-30,18879.792812833843
2019-05-01,18922.65091264377
2019-05-02,18817.307684190637
2019-05-03,19020.933166192917
2019-05-06,18900.238186995284
2019-05-07,18568.625913054588
2019-05-08,18556.53509851122
2019-05-09,18481.954889256005
2019-05-10,18525.33786246275
2019-05-13,17975.446950330625
2019-05-14,18167.581574943495
2019-05-15,18329.187898945493
2019-05-16,18467.500150075946
2019-05-17,18361.210661074052
2019-05-20,18126.54195409917
2019-05-21,18272.433968233407
2019-05-22,18249.985215391425
2019-05-23,18038.478600161678
2019-05-24,18044.80234564058
2019-05-28,17951.66948265906
2019-05-29,17842.151198212272
2019-05-30,17951.709769487425
2019-05-31,17767.698620382223
2019-06-03,17849.834254766774
2019-06-04,17858.845284676478
2019-06-05,17898.37589033521
2019-06-06,17924.300874375447
2019-06-07,17998.948112168193
2019-06-10,18059.02396607134
2019-06-11,18021.11206301399
2019-06-12,17999.658891214018
2019-06-13,18058.291800787454
2019-06-14,18007.398798015278
2019-06-17,18015.20816194652
2019-06-18,18228.993138862526
2019-06-19,18316.871934328683
2019-06-20,18525.83973029128
2019-06-21,18470.661354868214
2019-06-24,18473.82221255369
2019-06-25,18267.10499291051
2019-06-26,18218.274366231926
2019-06-27,18296.33267098795
2019-06-28,18401.85843954367
2019-07-01,18560.61677961884
2019-07-02,18641.22724805397
2019-07-03,18784.451111769482
2019-07-05,18751.633246125988
2019-07-08,18679.709644989038
2019-07-09,18700.032714381006
2019-07-10,18774.408378558353
2019-07-11,18823.466276365558
2019-07-12,18905.621553064204
2019-07-15,18927.15342996633
2019-07-16,18788.398650472715
2019-07-17,18738.409501165213
2019-07-18,18841.516170053244
2019-07-19,18745.67552292629
2019-07-22,18884.79471582329
2019-07-23,18953.913953176965
2019-07-24,19063.778001555846
2019-07-25,18994.423063251044
2019-07-26,19090.937591358273
2019-07-29,19077.527950119347
2019-07-30,19009.308973140018
2019-07-31,18698.459157680372
2019-08-01,18727.544170701578
2019-08-02,18538.94182348819
2019-08-05,17986.29535937359
2019-08-06,18272.071662487106
2019-08-07,18357.368730008624
2019-08-08,18736.55598558116
2019-08-09,18613.114863880553
2019-08-12,18464.856402537815
2019-08-13,18787.40187298785
2019-08-14,18361.183235164277
2019-08-15,18388.876148291005
2019-08-16,18633.050388295334
2019-08-19,18832.51040623083
2019-08-20,18773.573233593022
2019-08-21,18929.168506292102
2019-08-22,18881.639133922035
2019-08-23,18395.51540628835
2019-08-26,18608.03442923411
2019-08-27,18515.79211171138
2019-08-28,18541.72958134349
2019-08-29,18815.68948619713
2019-08-30,18806.880364188062
2019-09-03,18657.489480449916
2019-09-04,18905.35217929871
2019-09-05,19234.574246170378
2019-09-06,19173.936027910946
2019-09-09,19149.99859265996
2019-09-10,19182.005653503944
2019-09-11,19393.13658945322
2019-09-12,19420.39311714532
2019-09-13,19225.336043811767
2019-09-16,19217.581041501926
2019-09-17,19286.82788596114
2019-09-18,19286.83991090954
2019-09-19,19213.58713313706
2019-09-20,19043.527550446935
2019-09-23,19119.307814534004
2019-09-24,19015.51158767912
2019-09-25,19193.037541177328
2019-09-26,19136.948981600202
2019-09-27,19002.299394807047
2019-09-30,19143.5987392664
2019-10-01,19088.289903102464
2019-10-02,18896.99772691587
2019-10-03,19186.730322204963
2019-10-04,19396.05701725853
2019-10-07,19376.5120911719
2019-10-08,19123.927876667403
2019-10-09,19334.64749269644
2019-10-10,19444.411902153573
2019-10-11,19619.230916599165
