,equity
409,71739.72180467137
410,72765.84647557288
411,70089.0581404398
412,73805.2865741212
413,75110.72127838066
414,76775.88087704737
415,78256.31838851993
416,78459.89818146796
417,79878.95356854175
418,79430.73147701351
419,80136.63783216127
420,82649.74293784832
421,86545.91708170126
422,87198.20860055946
423,87458.24628286343
424,88532.66579724666
425,87923.82060936278
426,89805.87707730792
427,88476.02777569488
428,90899.02431928176
429,91541.41022942033
430,93055.57202518929
431,91656.41634839133
432,91110.7705107741
433,89672.95768564384
434,89591.98788606688
435,91768.89793034519
436,91442.1898745596
437,90745.46717402496
438,88687.08366475053
439,89234.62475244723
440,90188.80545314726
441,92060.43286813618
442,89419.80462307062
443,86621.73378513657
444,91178.79368728703
445,93629.78578605842
446,95225.39905932418
447,95901.27247980441
448,95281.20940916374
449,97285.80640229648
450,100420.70314861553
451,101276.94268907976
452,101587.04436130085
453,101388.69153683643
454,104058.22307580762
455,106608.07198407961
456,108396.59742113478
457,111270.7363392676
458,113131.53093483191
459,113234.51568727444
460,115395.5823460021
461,117080.1292706846
462,116559.88521611423
463,117262.00836650236
464,119015.5426401117
465,119269.4427047264
466,117959.44936498997
467,113451.60413866836
468,116837.44584525074
469,116362.16355082623
470,118876.39641806466
471,121789.01832883689
472,122793.8475669075
473,122202.38849645818
474,123878.19132660815
475,127078.09118251024
476,126938.0045542589
477,128157.22178829087
478,131542.84612910205
479,131296.49143893304
480,126986.36009631428
481,122871.74939472384
482,119097.48838547432
483,127711.6310728424
484,133647.06688986113
485,135329.68454021742
486,134851.403266156
487,128167.69886835871
488,133658.5209448053
489,136223.71097685155
490,136076.3425140241
491,139241.1870479481
492,141419.88597241254
493,140120.5612505401
494,139739.90407361975
495,136741.53276600406
496,143998.7898467912
497,139629.70911897437
498,140860.98291128763
499,141970.77263981453
500,144485.33162381453
501,145026.64882608366
502,140720.49647709113
503,142185.0523958096
504,143756.54894307355
505,141529.17957460103
506,144806.3221642947
507,146877.1346705736
508,149546.32887920566
509,153203.30626576257
510,155020.77314460368
511,150044.45371318838
512,147538.0019735242
513,141328.53340200993
514,140738.81320618634
515,143261.2977406319
516,138261.19885926746
517,126208.29658738952
518,141369.90255937885
519,141907.06509896656
520,144791.24985409714
521,144600.36628493413
522,145940.02710670268
523,143574.95228265898
524,145004.46907191782
525,148550.830304085
526,148947.3167279273
527,149156.0850192276
528,154251.75786729914
529,155818.19385954112
